view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,response,
,null,html-keyboard-response,20,395251,0.0-0.0-8.0-2.2,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,1167.81,html-keyboard-response,21,396421,0.0-0.0-8.0-3.2,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/peacock2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>kujaku</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/lemur.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,,Trial,kujaku,hidari,match_image,../img/Trial/Alt/lemur.jpg,70,TRUE,,,
,null,html-keyboard-response,22,398423,0.0-0.0-8.0-4.2,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/peacock2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>kujaku</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/lemur.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,kujaku,hidari,,,,,,,
,null,html-keyboard-response,23,399425,0.0-0.0-8.0-0.3,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,24,401428,0.0-0.0-8.0-1.3,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,25,402429,0.0-0.0-8.0-2.3,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,1246.25,html-keyboard-response,26,403677,0.0-0.0-8.0-3.3,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>joro<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>kirei<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,,Trial,joro,kirei,match_word,../img/Trial/Alt/laptop.jpg,70,TRUE,,,
,null,html-keyboard-response,27,405679,0.0-0.0-8.0-4.3,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px; color:#006600;'class='Column'>joro<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px; color:#B00000;'class='Column'>kirei<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,28,406680,0.0-0.0-8.0-0.4,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,29,408682,0.0-0.0-8.0-1.4,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>nabe</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/pan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,nabe,chikai,,,,,,,
,null,html-keyboard-response,30,409683,0.0-0.0-8.0-2.4,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,936.1650003,html-keyboard-response,31,410621,0.0-0.0-8.0-3.4,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/pan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>nabe</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/pen.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,,Trial,nabe,chikai,match_image,../img/Trial/Alt/pen.jpg,70,TRUE,,,
,null,html-keyboard-response,32,412624,0.0-0.0-8.0-4.4,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/pan2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>nabe</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/pen.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,nabe,chikai,,,,,,,
,,call-function,33,412625,0.0-0.0-9.0,,,,,,,,,,,,,,,,,,,,
,4387.255,html-keyboard-response,34,417013,0.0-1.0-0.0,,,instructions,,,,,<p>Now let's begin the real study.</p><p>Phase 1 will take no more than 10 minutes.</p><p><b>Press J</b> to begin.</p>,74,,,,,,,,,,,
,null,html-keyboard-response,35,418015,0.0-1.0-1.0-0.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,36,420017,0.0-1.0-1.0-1.0,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>kuma</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Animals/bear.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,Phase 1,Animal,kuma,kosho,,,,,,,
